retailer_id,retailer_name,network
25121,Suttons,AW
16862,Sweet Cures,AW
35031,Sweet Hamper Company,AW
56525,Targus,AW
1100l361,Tassimo,PZ
82985,Tefal,AW
45356,Temple Spa,LS
53163,Temu,LS
2252,Terry's Fabrics,AW
3017,TGJones,AW
32009,The Ayurveda Experience DE,AWEU
7741,The Cambridge Satchel Company,AW
43488,The Fragrance Shop,LS
3564,The Glow Company,AW
21454,The Great Wine Co.,AW
2547,The Hut,AW
19772,The Opal,AW
29305,THE PACK Vegan Dog Food,AW
24982,The White Company,IR
2283,Thompson & Morgan,AW
47002,Threadbare,LS
10210,Three,AW
30351,Thrudark,AW
267535,Tikiboo,WG
38180,Timberland,LS
43244,TK Maxx,LS
50131,TK Maxx DE,LSEU
496,Tooled Up,AW
46390,Toolstation,LS
41719,Topshop Topman,IR
18214,Townsend Music,AW
52648,Trail,LS
19669,Treat Republic,AW
6821,Tredz Limited,AW
17368,troph-e-shop DE,AWEU
14288,Trotec DE,AWEU
6411,Tweeks Cycles,AW
10611,UGG DE,AWEU
24566,UKMEDI,AW
62671,Ulike UK,AW
35029,Unfolded,AW
6771,Uniqlo,AW
43613,Urban Outfitters,LS
3170,Van Meuwen,AW
4691152,Vans,CJ
53077,Victoria Secret,LS
43028,Vilebrequin EU & APAC,LS
806,Vintage Wine Gifts,AW
40012,Vivienne Westwood,LS
25072,VOCLA,AW
1257,Vodafone,AW
10951,VOXI,AW
2419,Wallis,AW
3509,Wallpaperdirect,AW
19741,WatchNation,AW
3787,Waterstones,AW
5246033,Wayfair,CJ
42326,weekday,LS
6069,Weird Fish,AW
25720,Wex Photo Video,IR
1100l6507,Whistles,PZ
53413,White Fox,LS
70478,Wild & Stone,AW
1234,willtest2,AW
52515,Wonderbra,AW
31639,Worth a Million,AW
3595,Wowcher,AW
23680,Xiaomi UK,AW
19275,Yours Clothing UK,AW
15732,Yves Saint Laurent Beauty UK,AW
2549,Zavvi,AW
62549,Zoeva UK,AW
2940,Zooplus.co.uk,AW
27732,Zoro UK,AW
